auc,acc,ap,f1,recall,precision
0.8449066319250573,0.742437337942956,0.30042981040656364,0.4753521126760563,0.8333333333333334,0.33251231527093594
0.8540790371611142,0.7398444252376837,0.29096325364549935,0.46536412078152756,0.808641975308642,0.3266832917705736
0.843885398279246,0.7407087294727744,0.2915229199563804,0.46619217081850534,0.803680981595092,0.3283208020050125
0.8467862389058276,0.749351771823682,0.30206518912050384,0.4784172661870504,0.8159509202453987,0.3384223918575064
0.8577514469533248,0.773356401384083,0.32143385257572105,0.5019011406844106,0.8148148148148148,0.3626373626373626
0.8547954393024816,0.7534602076124568,0.30006021874383404,0.4770642201834862,0.8024691358024691,0.3394255874673629
0.8677186576247609,0.7621107266435986,0.32296061728285247,0.500907441016334,0.8518518518518519,0.35475578406169667
0.8531218173236953,0.745674740484429,0.29755649536503054,0.47311827956989244,0.8148148148148148,0.3333333333333333
0.8663710659015823,0.7577854671280276,0.3055852899582033,0.4833948339483395,0.808641975308642,0.3447368421052632
0.8566398390342053,0.7551903114186851,0.3014900274464282,0.4788213627992633,0.8024691358024691,0.34120734908136485
0.8587629505552454,0.7502160760587727,0.3010072742536319,0.4773960216998192,0.8148148148148148,0.3375959079283887
0.8523698740616663,0.7545375972342264,0.30265827182279276,0.4798534798534799,0.808641975308642,0.3411458333333333
0.8708076680944563,0.7407087294727744,0.2915229199563804,0.46619217081850534,0.803680981595092,0.3283208020050125
0.8493784794657515,0.7554019014693172,0.3166438579687356,0.49373881932021463,0.8466257668711656,0.3484848484848485
0.8360781975805449,0.7352941176470589,0.2895681148276304,0.4631578947368421,0.8148148148148148,0.3235294117647059
0.8639957026107261,0.7482698961937716,0.30341416405001714,0.4794275491949911,0.8271604938271605,0.33753148614609574
0.8461012991529423,0.759515570934256,0.30513109615050765,0.483271375464684,0.8024691358024691,0.34574468085106386
0.8505663611297414,0.75,0.3105490524191465,0.4866785079928952,0.845679012345679,0.341645885286783
0.8739877536825893,0.7724913494809689,0.33858964668138286,0.5174311926605505,0.8703703703703703,0.3681462140992167
