auc,acc,ap,f1,recall,precision
0.8375395495998512,0.7407087294727744,0.3009422503713177,0.4755244755244756,0.8395061728395061,0.33170731707317075
0.8449407531484583,0.7372515125324114,0.2890015965487839,0.4628975265017668,0.808641975308642,0.32425742574257427
0.8465578748565009,0.7433016421780466,0.30095748875808626,0.4761904761904762,0.8282208588957055,0.3341584158415842
0.8330782239448964,0.7372515125324114,0.29624386639499906,0.47038327526132395,0.8282208588957055,0.3284671532846715
0.8534230071788758,0.7491349480968859,0.29655018578192455,0.4727272727272728,0.8024691358024691,0.33505154639175255
0.8491380381051743,0.75,0.3105490524191465,0.4866785079928952,0.845679012345679,0.341645885286783
0.8652408276821423,0.7586505190311419,0.3218339965533109,0.49910233393177744,0.8580246913580247,0.3518987341772152
0.8383324639193184,0.7344290657439446,0.2870920359386334,0.46045694200351495,0.808641975308642,0.32186732186732187
0.8493678118091263,0.7517301038062284,0.3043482904197011,0.48101265822784806,0.8209876543209876,0.340153452685422
0.8507402439327322,0.7603806228373703,0.30009179870943486,0.4783427495291902,0.7839506172839507,0.34417344173441733
0.8482660214653513,0.7476231633535004,0.30458621434745037,0.48042704626334526,0.8333333333333334,0.3375
0.8509336807494261,0.7519446845289542,0.3024215577867985,0.4791288566243195,0.8148148148148148,0.3393316195372751
0.8588463295108073,0.7510803802938635,0.30916088094200145,0.4857142857142857,0.8343558282208589,0.3425692695214106
0.8418116058313068,0.7381158167675022,0.28589896846513907,0.4598930481283423,0.7914110429447853,0.3241206030150754
0.828141689644037,0.7326989619377162,0.2839985838832436,0.45694200351493847,0.8024691358024691,0.3194103194103194
0.8532894900265792,0.7396193771626297,0.3002841463329709,0.4746945898778359,0.8395061728395061,0.3309002433090024
0.8433315945053034,0.7569204152249135,0.3067754619382182,0.48440366972477067,0.8148148148148148,0.34464751958224543
0.8413071018704823,0.7430795847750865,0.2992574487533002,0.4743362831858407,0.8271604938271605,0.3325062034739454
0.8680602131306357,0.754325259515571,0.3219339667530767,0.49823321554770317,0.8703703703703703,0.349009900990099
0.8348051270586482,0.7352941176470589,0.2786166159868582,0.45161290322580644,0.7777777777777778,0.3181818181818182
0.863788076183386,0.7528089887640449,0.3165591767572501,0.49290780141843976,0.8580246913580247,0.34577114427860695
0.8451206650536633,0.7398444252376837,0.2854263502440623,0.4596050269299821,0.7901234567901234,0.3240506329113924
0.8409969016553307,0.7294727744165946,0.28319707675823674,0.4556521739130435,0.803680981595092,0.3179611650485437
0.8558837688708941,0.7726879861711322,0.33233727563317533,0.5120593692022263,0.8466257668711656,0.3670212765957447
0.821425466378518,0.7335640138408305,0.290114073211407,0.4634146341463415,0.8209876543209876,0.32281553398058255
0.8525598032640286,0.7534602076124568,0.30196491747818166,0.47897623400365635,0.808641975308642,0.34025974025974026
0.8387795911270091,0.7309688581314879,0.28819821127390505,0.4610051993067591,0.8209876543209876,0.3204819277108434
0.8533609061778076,0.7491349480968859,0.307923448246401,0.4839857651245552,0.8395061728395061,0.34
0.8393695506371562,0.7465397923875432,0.30012770928273297,0.47584973166368516,0.8209876543209876,0.3350125944584383
0.8594219638820577,0.75,0.30863881691498596,0.4848484848484848,0.8395061728395061,0.3408521303258145
0.8470345554935169,0.7381158167675022,0.2878098244364228,0.4618117229129663,0.8024691358024691,0.32418952618453867
0.824858862212296,0.7407087294727744,0.28239700374531834,0.45652173913043476,0.7777777777777778,0.3230769230769231
0.8624631222920345,0.756266205704408,0.32511198067981556,0.5017667844522968,0.8711656441717791,0.3523573200992556
0.8454901186258655,0.7623163353500432,0.30531073464140257,0.48405253283302063,0.7914110429447853,0.34864864864864864
0.8471228606205132,0.7231833910034602,0.2952586631493058,0.4666666666666666,0.8641975308641975,0.319634703196347
0.8643341530665475,0.7577854671280276,0.3191255998766581,0.4964028776978417,0.8518518518518519,0.350253807106599
0.8491597734555482,0.7534602076124568,0.305784083659955,0.4827586206896552,0.8209876543209876,0.34190231362467866
0.8393633405370494,0.75,0.2972449364922147,0.4735883424408015,0.8024691358024691,0.3359173126614987
0.8496503713639862,0.7422145328719724,0.30609026401346756,0.4808362369337979,0.8518518518518519,0.33495145631067963
0.8416455523263036,0.7352941176470589,0.2895681148276304,0.4631578947368421,0.8148148148148148,0.3235294117647059
0.8563124263291767,0.7450302506482281,0.29684992190298837,0.47227191413237923,0.8148148148148148,0.33249370277078083
0.8562969166821763,0.7450302506482281,0.3062710572073868,0.48154657293497366,0.845679012345679,0.3366093366093366
0.8442310303539026,0.7415730337078652,0.29773687529895354,0.472663139329806,0.8220858895705522,0.3316831683168317
0.8476780930984681,0.7519446845289542,0.30418931267487137,0.48101265822784817,0.8159509202453987,0.34102564102564104
0.8543234716943637,0.7551903114186851,0.31687095740158067,0.4937388193202147,0.8518518518518519,0.34760705289672544
0.8541495888913729,0.745674740484429,0.301320218719296,0.4768683274021352,0.8271604938271605,0.335
0.8362396601833221,0.7525951557093425,0.3088893963079409,0.4856115107913669,0.8333333333333334,0.3426395939086294
0.8450393720346773,0.7422145328719724,0.28371918809973956,0.45818181818181813,0.7777777777777778,0.3247422680412371
0.8538887646868867,0.740484429065744,0.30096168973992704,0.4755244755244756,0.8395061728395061,0.33170731707317075
0.826927615073155,0.7344290657439446,0.2852643464658786,0.4585537918871252,0.8024691358024691,0.32098765432098764
0.8620323841429369,0.77009507346586,0.33608360712919133,0.5145985401459854,0.8703703703703703,0.36528497409326427
0.8207426018983809,0.7381158167675022,0.2786560272455461,0.45207956600361665,0.7716049382716049,0.319693094629156
0.8556183728135686,0.7519446845289542,0.31369349544782094,0.4902309058614565,0.8466257668711656,0.345
0.8401204774660231,0.7355229040622299,0.2894364423970821,0.46315789473684216,0.8098159509202454,0.32432432432432434
0.8695195866557369,0.7698961937716263,0.31624857283651825,0.4962121212121212,0.808641975308642,0.35792349726775957
0.8453064063392702,0.7344290657439446,0.29444073873348064,0.4679376083188908,0.8333333333333334,0.3253012048192771
0.8397949424944731,0.740484429065744,0.28979469520699314,0.4642857142857143,0.8024691358024691,0.32663316582914576
0.8436420995106441,0.7378892733564014,0.2989389027646803,0.4730434782608695,0.8395061728395061,0.32929782082324455
0.8277442432372009,0.7240484429065744,0.27429264235512163,0.4452173913043478,0.7901234567901234,0.3099273607748184
0.8646943388727427,0.7551903114186851,0.31493775249268513,0.4919210053859964,0.845679012345679,0.3468354430379747
0.8550902661455424,0.7433016421780466,0.3011139921252281,0.47619047619047616,0.8333333333333334,0.3333333333333333
0.848892611204169,0.749351771823682,0.30220024927623934,0.4784172661870503,0.8209876543209876,0.33756345177664976
0.8385527891274025,0.7337942955920485,0.2954522638391453,0.4689655172413793,0.8343558282208589,0.3261390887290168
0.8387533791707299,0.7579948141745895,0.3092750079734485,0.48717948717948717,0.8159509202453987,0.3472584856396867
0.8532988051767394,0.7318339100346021,0.29801491443784317,0.4709897610921501,0.8518518518518519,0.32547169811320753
0.8601982263954095,0.7448096885813149,0.3043995951752228,0.47971781305114636,0.8395061728395061,0.3358024691358025
0.8235648458653153,0.745674740484429,0.28449544733656157,0.45955882352941174,0.7716049382716049,0.32722513089005234
0.8446170852274139,0.7335640138408305,0.2919497290670028,0.4652777777777778,0.8271604938271605,0.32367149758454106
0.847861862533224,0.7612456747404844,0.30855091422375286,0.48698884758364314,0.808641975308642,0.3484042553191489
0.8631293936458255,0.7413494809688581,0.2941699001247362,0.46891651865008876,0.8148148148148148,0.32917705735660846
0.851715366958248,0.742437337942956,0.2929544834622658,0.46785714285714286,0.808641975308642,0.32914572864321606
0.8417085427135678,0.7467588591184097,0.2925894490696201,0.46823956442831216,0.7962962962962963,0.33161953727506427
0.8634382985026725,0.7752808988764045,0.326871697344903,0.5075757575757577,0.8220858895705522,0.36712328767123287
0.840092703460024,0.7303370786516854,0.2910497213293674,0.46391752577319584,0.8282208588957055,0.3221957040572792
0.8400588717490125,0.7465397923875432,0.3020147018406797,0.47771836007130125,0.8271604938271605,0.3358395989974937
0.860859602056785,0.7396193771626297,0.3153367422185846,0.4889643463497453,0.8888888888888888,0.3372365339578454
0.8501037086717839,0.7396193771626297,0.2928387917225957,0.46725663716814153,0.8148148148148148,0.32754342431761785
0.8604342101994684,0.7621107266435986,0.3190441793671321,0.4972577696526509,0.8395061728395061,0.35324675324675325
0.8244373649303227,0.726643598615917,0.27252117885693833,0.4436619718309859,0.7777777777777778,0.3103448275862069
0.8395372233400402,0.7482698961937716,0.29962981550450846,0.4756756756756757,0.8148148148148148,0.33587786259541985
0.8436348408710218,0.7510803802938635,0.3074271234383594,0.4838709677419354,0.8333333333333334,0.3409090909090909
0.8459581859916868,0.7484874675885912,0.303393229345361,0.4794275491949911,0.8271604938271605,0.33753148614609574
0.8490945674044266,0.7441659464131374,0.3035149616018622,0.47887323943661975,0.8343558282208589,0.3358024691358025
0.839706953376702,0.7519446845289542,0.29852459599521364,0.47531992687385743,0.7975460122699386,0.3385416666666667
0.8332370767816777,0.7378892733564014,0.28783374981317267,0.4618117229129663,0.8024691358024691,0.32418952618453867
0.8406550413592667,0.7257785467128027,0.28444840073589656,0.4562607204116637,0.8209876543209876,0.3159144893111639
0.8545967160990635,0.754325259515571,0.30268144953151926,0.4798534798534799,0.808641975308642,0.3411458333333333
