auc,acc,ap,f1,recall,precision
0.7504776971276134,0.6819360414866033,0.2629784906509313,0.42679127725856697,0.845679012345679,0.28541666666666665
0.7685681493889199,0.7130509939498704,0.28254910292987695,0.4521452145214521,0.845679012345679,0.30855855855855857
0.7448988408981496,0.7026793431287813,0.26531509125418407,0.4323432343234323,0.803680981595092,0.29571106094808125
0.7577705496784387,0.6983578219533275,0.2727919954684545,0.43980738362760835,0.8404907975460123,0.29782608695652174
0.7703567081501353,0.7205882352941176,0.28616996265919714,0.4571428571428572,0.8395061728395061,0.3140877598152425
0.7636808505353107,0.7179930795847751,0.2807943842428442,0.4511784511784511,0.8271604938271605,0.3101851851851852
0.7858571180167424,0.7205882352941176,0.2970069612138998,0.46787479406919286,0.8765432098765432,0.31910112359550563
0.7454355764214919,0.6955017301038062,0.2628580671276889,0.42857142857142855,0.8148148148148148,0.2907488986784141
0.7679782398092257,0.7076124567474048,0.28083990840827044,0.4495114006514658,0.8518518518518519,0.3053097345132743
0.7755918225401793,0.7162629757785467,0.2885120318319088,0.4587458745874588,0.8580246913580247,0.3130630630630631
