auc,acc,ap,f1,recall,precision
0.8402444320367269,0.8660328435609335,0.21027514277618312,0.251207729468599,0.16049382716049382,0.5777777777777777
0.8525435821080712,0.8556611927398444,0.16457995234524575,0.14358974358974358,0.08641975308641975,0.42424242424242425
0.8530909382676427,0.8738115816767502,0.25432882413650315,0.33027522935779813,0.22085889570552147,0.6545454545454545
0.850378343681722,0.8625756266205704,0.191761831453015,0.20100502512562815,0.12269938650306748,0.5555555555555556
0.8698952977121992,0.8685121107266436,0.2070417627835448,0.21649484536082472,0.12962962962962962,0.65625
0.8562237623270488,0.8633217993079585,0.20238221271268764,0.2403846153846154,0.15432098765432098,0.5434782608695652
0.8791825024219391,0.8650519031141869,0.19333976782434106,0.19587628865979378,0.11728395061728394,0.59375
0.8642223712646248,0.8667820069204152,0.19999786406937503,0.20618556701030927,0.12345679012345678,0.625
0.8659705144446929,0.870242214532872,0.22790751234660767,0.27884615384615385,0.17901234567901234,0.6304347826086957
0.8623158705318329,0.8711072664359861,0.22653810448139083,0.2660098522167488,0.16666666666666666,0.6585365853658537
0.856929710279794,0.8660328435609335,0.1996446749255738,0.21319796954314718,0.12962962962962962,0.6
0.8594143557292636,0.8738115816767502,0.23510212436883046,0.27,0.16666666666666666,0.7105263157894737
0.8775752675562578,0.8772687986171133,0.25788585467764735,0.303921568627451,0.1901840490797546,0.7560975609756098
0.8557973608522298,0.8539325842696629,0.15995779225943974,0.12435233160621761,0.0736196319018405,0.4
0.8362893409841766,0.856401384083045,0.16801230296039985,0.1530612244897959,0.09259259259259259,0.4411764705882353
0.8695444270561642,0.8667820069204152,0.21460809387693697,0.25961538461538464,0.16666666666666666,0.5869565217391305
0.8515134013960305,0.8667820069204152,0.21036984147326324,0.24509803921568624,0.15432098765432098,0.5952380952380952
0.8499391410189533,0.8633217993079585,0.19799059783681083,0.22549019607843138,0.1419753086419753,0.5476190476190477
0.8775865066944879,0.8693771626297578,0.2214331697111129,0.2634146341463415,0.16666666666666666,0.627906976744186
0.8480512705864819,0.8650519031141869,0.20403324728584243,0.23529411764705882,0.14814814814814814,0.5714285714285714
0.8752559091755071,0.8720829732065687,0.22557703274515592,0.2525252525252525,0.15432098765432098,0.6944444444444444
0.8608629567591042,0.8738115816767502,0.23680442182314843,0.2772277227722772,0.1728395061728395,0.7
0.8541309204922788,0.8668971477960242,0.21279485830156908,0.2450980392156863,0.15337423312883436,0.6097560975609756
0.8655151769512783,0.8668971477960242,0.1989437459899995,0.1894736842105263,0.11042944785276074,0.6666666666666666
0.8356186501726408,0.8512110726643599,0.1639225043684867,0.15686274509803919,0.09876543209876543,0.38095238095238093
